Company Names,Years of experience,Skills,Locations,Salaries,Links
ADAL IMMIGRATIONS LLP,4 - 9Years,"['Software Engineer', 'Software Developer', 'Senior Software Engineer', 'Software programmer', 'IT']","['Australia (Australia)', 'Canada (Canada)', 'New Zealand (New Zealand)', 'Singapore (Singapore)']",75.00 - 99.00 Lakhs,https://www.timesjobs.com/job-detail/software-engineer-job-in-canada-with-family-adal-immigrations-llp-australia-canada-new-zealand-singapore-4-to-9-yrs-jobid-PCX8mKpG5dlzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree,8 - 12Years,"['Mandatory Skills : Agile (Value-Driven Delivery)', 'Benefits Management', 'Flexcube Technical Change Management', 'Project Governance', 'Project Planning and Scheduling', 'Risk/Crisis Management', 'Schedule Management', 'Scope & Change Management', 'Stakeholder Management']",['Chennai (Tamil Nadu)'],As per Industry Standards,https://www.timesjobs.com/job-detail/scrum-master-agile-champion-senior-specialist-program-project-management-ltimindtree-chennai-8-to-12-yrs-jobid-G5oll5CROO1zpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,['Oracle'],['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/oracle-odi-oac-consultant-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-4ymu1Y1sblxzpSvf__PLUS__uAgZw==&source=srp
Sameer namdep Kedari,6 - 11Years,"['Senior Data Engineer', 'Proficiency in building stream processing systems using Kafka']","['Gurgaon (Haryana)', 'Ahmedabad (Gujarat)', 'Amreli (Gujarat)', 'Anand (Gujarat)', 'Ankleshwar (Gujarat)']",10.00 - 23.10 Lakhs,https://www.timesjobs.com/job-detail/senior-data-engineer-sameer-namdep-kedari-gurgaon-ahmedabad-amreli-anand-ankleshwar-6-to-11-yrs-jobid-DT3s3Pk__PLUS__bPVzpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,['AWS'],['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/oracle-fusion-analytics-warehouse-faw-specialist-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-5b78S0DMOs5zpSvf__PLUS__uAgZw==&source=srp
LTIMindtree Ltd.,5 - 8Years,"['""SIEM SOAR""', '""SOC operation""', 'XSOAR', 'ITSM', 'SIEM SOAR', 'SIEM SOC', '""SOC operation""', 'SOC operation']",['Bengaluru/ Bangalore (Karnataka)'],1.00 - 3.00 Lakhs,https://www.timesjobs.com/job-detail/splunk-soar-ltimindtree-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-r7CWe__PLUS__8QQlJzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,4 - 8Years,['Tableau'],"['Mumbai (Maharashtra)', 'Navi Mumbai (Maharashtra)']",8.00 - 16.00 Lakhs,https://www.timesjobs.com/job-detail/sr-tableau-developer-j48660-sampoorna-consultants-pvt-ltd-mumbai-navi-mumbai-4-to-8-yrs-jobid-4q9__PLUS__ERY9llxzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,8 - 12Years,['data scientist'],"['Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)']",30.00 - 45.00 Lakhs,https://www.timesjobs.com/job-detail/senior-data-scientist-j48706-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-chennai-8-to-12-yrs-jobid-L8ReMrL__PLUS__zg5zpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,14 - 19Years,"['Artificial intelligence', 'AI']",['Mumbai (Maharashtra)'],30.00 - 45.00 Lakhs,https://www.timesjobs.com/job-detail/gen-ai-expert-j48690-sampoorna-consultants-pvt-ltd-mumbai-14-to-19-yrs-jobid-llbducJP0WBzpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,['Oracle'],['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/oracle-odi-oac-consultant-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-hEPcWDXB4FNzpSvf__PLUS__uAgZw==&source=srp
SHREE ADISHAKTHI CONSULTANCY,5 - 10Years,"['embedded systems security', 'Strong knowledge of IoT protocols', 'embedded system architecture', 'ARM/MIPS/x86 code architecture', 'IIOT']",['Bengaluru/ Bangalore (Karnataka)'],8.00 - 12.00 Lakhs,https://www.timesjobs.com/job-detail/iot-engineer-embedded-security-engineer-shree-adishakthi-consultancy-bengaluru-bangalore-5-to-10-yrs-jobid-CICoq320eVhzpSvf__PLUS__uAgZw==&source=srp
TALPRO INDIA PRIVATE LIMITED,5 - 15Years,['AWS'],['Bengaluru/ Bangalore (Karnataka)'],15.30 - 30.60 Lakhs,https://www.timesjobs.com/job-detail/zr-981-job-aws-infrastructure-engineer-talpro-india-private-limited-bengaluru-bangalore-5-to-15-yrs-jobid-SlcLiH2gFTpzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree Ltd.,5 - 8Years,['Talend MDM developer'],"['Mumbai (Maharashtra)', 'Navi Mumbai (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/talend-developer-ltimindtree-ltd-mumbai-navi-mumbai-5-to-8-yrs-jobid-rH9CzYnSDzxzpSvf__PLUS__uAgZw==&source=srp
SHREE ADISHAKTHI CONSULTANCY,3 - 8Years,"['LLMs', 'open AI GPT', 'Anthropic', 'LLama']",['Bengaluru/ Bangalore (Karnataka)'],8.00 - 12.00 Lakhs,https://www.timesjobs.com/job-detail/ai-engineer-shree-adishakthi-consultancy-bengaluru-bangalore-3-to-8-yrs-jobid-cyvjn1iyyxtzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,1 - 2Years,['Power Automate'],['Chennai (Tamil Nadu)'],4.00 - 8.00 Lakhs,https://www.timesjobs.com/job-detail/jr-automation-developer-j48710-sampoorna-consultants-pvt-ltd-chennai-1-to-2-yrs-jobid-jCT5kCywWLJzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,3 - 8Years,['automatic'],['Bengaluru/ Bangalore (Karnataka)'],12.00 - 30.00 Lakhs,https://www.timesjobs.com/job-detail/automation-testing-with-c-acon-con-am-blr-pune-j48620-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-3-to-8-yrs-jobid-8QZJhE7V__PLUS__99zpSvf__PLUS__uAgZw==&source=srp
Electrobrain modern technologies pvt ltd,3 - 8Years,"['react', 'js', 'ASIC Front End', 'frontengineer', 'v', 'html', 'javascript', 'css']","['Chandigarh (Punjab)', 'Vijayawada (Andhra Pradesh)', 'Visakhapatnam (Andhra Pradesh)', 'Mangalore (Karnataka)', 'Mysoru/ Mysore (Karnataka)']",6.15 - 15.65 Lakhs,https://www.timesjobs.com/job-detail/web-engineer-electrobrain-modern-technologies-pvt-ltd-chandigarh-vijayawada-visakhapatnam-mangalore-mysoru-mysore-3-to-8-yrs-jobid-LNDRHhqFn__SLASH__RzpSvf__PLUS__uAgZw==&source=srp
SAMPOORNA CONSULTANTS PVT LTD,5 - 8Years,['Data Scientist'],['Bengaluru/ Bangalore (Karnataka)'],20.00 - 30.00 Lakhs,https://www.timesjobs.com/job-detail/data-scientist-j48707-sampoorna-consultants-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-9GLEl__SLASH____PLUS__nxNZzpSvf__PLUS__uAgZw==&source=srp
Whitekraaft Solutions LLP,1 - 3Years,"['Automation software', 'lab engineer']",['Chennai (Tamil Nadu)'],1.00 - 3.00 Lakhs,https://www.timesjobs.com/job-detail/implementation-engineer-whitekraaft-solutions-llp-chennai-1-to-3-yrs-jobid-KzHMs66xmD9zpSvf__PLUS__uAgZw==&source=srp
Maxgen Technologies,0 - 1Years,['.'],"['Pune (Maharashtra)', 'Jalgaon (Maharashtra)', 'Kolhapur (Maharashtra)', 'Nagpur (Maharashtra)', 'Solapur (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/data-analyst-internship-in-pune-maxgen-technologies-pune-jalgaon-kolhapur-nagpur-solapur-0-to-1-yrs-jobid-mDlabWZNsGhzpSvf__PLUS__uAgZw==&source=srp
Best InfoSystems Ltd.,6 - 11Years,"['Alteryx', 'Tableau development']",['Bengaluru/ Bangalore (Karnataka)'],10.00 - 20.00 Lakhs,https://www.timesjobs.com/job-detail/alteryx-tableau-development-best-infosystems-ltd-bengaluru-bangalore-6-to-11-yrs-jobid-yOyQoLGdGH1zpSvf__PLUS__uAgZw==&source=srp
LTIMindtree Ltd.,5 - 8Years,"['Networking', 'OSPF']",['Bengaluru/ Bangalore (Karnataka)'],As per Industry Standards,https://www.timesjobs.com/job-detail/network-admin-service-provider-ltimindtree-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-iiUmNpbEmVRzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree Ltd.,5 - 8Years,['Application Security'],"['Ahmedabad (Gujarat)', 'Bengaluru/ Bangalore (Karnataka)', 'Chennai (Tamil Nadu)', 'Delhi (Delhi)', 'Mumbai (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/application-security-devsecops-ltimindtree-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-mumbai-5-to-8-yrs-jobid-bBwjIwggWq1zpSvf__PLUS__uAgZw==&source=srp
World wide Immigration Service Llp,4 - 8Years,"['network engineer', 'network administrator', 'Network Configuration Maintenance', 'Network Designing', 'Network Architecture', 'Network Development']",['Canada (Canada)'],45.00 - 85.00 Lakhs,https://www.timesjobs.com/job-detail/network-engineer-job-in-canada-world-wide-immigration-service-llp-canada-4-to-8-yrs-jobid-zI8SGoOO3ZtzpSvf__PLUS__uAgZw==&source=srp
LTIMindtree Ltd.,5 - 8Years,"['software defined access', 'SDWAN', 'DNAC', 'Implementation']","['Bengaluru/ Bangalore (Karnataka)', 'Pune (Maharashtra)']",As per Industry Standards,https://www.timesjobs.com/job-detail/sda-dnac-implementation-migration-ltimindtree-ltd-bengaluru-bangalore-pune-5-to-8-yrs-jobid-LKKPQsMd8dxzpSvf__PLUS__uAgZw==&source=srp
